我,wǒ,"I, me"
我们,wǒmen,"we, us (pl.)"
你,nǐ,you
他, tā ,"he, him"
她, tā ,"she, her"
这 (这儿),zhè ( zhèr),this (here)
那 (那儿),nà (nàr),that (there)
哪,nǎ,which
哪儿,nǎr,where
谁,shéi,who
什么,shénme,"what, why"
多少,duōshǎo,"how many, how much"
几,jǐ,"a few, how many"
怎么,zěnme,how
怎么样,zěnmeyàng,how about
一,yī,one
二,èr,two
三,sān,three
四,sì,four
五,wǔ,five
六,liù,six
七,qī,seven
八,bā,eight
九,jiǔ,nine
十,shí,ten
您,nín,you
它,tā,it
大家,dàjiā,everyone
每,měi,"every, each"
为什么,wèishénme,why
零,líng,zero
两,liǎng,two
百,bǎi,hundred
千,qiān,thousand
第一,dìyī,first
次,cì,times
件,jiàn,piece
别,bié,do not
非常,fēicháng,very
也,yě,also
还,hái,still
最,zuì,the most
真,zhēn,really
正在,zhèngzài,be being
已经,yǐjīng,already
一起,yìqǐ,together
再,zài,again
就,jiǜ,at once
因为……所以……,yīnwèi…suǒyǐ…,because…so…
虽然……但是……,suīrán…dànshì…,although… but…
阿姨,āyí,aunt
啊,a,ah
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,Be quiet
把,bǎ,hold
班,bān,class
搬,bān,move
半,bàn,half
办法,bànfǎ,Way
办公室,bàngōngshì,Office
帮忙,bāngmáng,Help
包,bāo,package
饱,bǎo,full
北方,běifāng,north
被,bèi,cover
鼻子,bízi,nose
比较,bǐjiào,compare
比赛,bǐsài,Match
笔记本,bǐjìběn,notebook
必须,bìxū,Must
变化,biànhuà,change
别人,biéren,Others
冰箱,bīngxiāng,Refrigerator
菜单,càidān,menu
参加,cānjiā,participate in
草,cǎo,grass
层,céng,layer
差,chà,bad
超市,chāoshì,Supermarket
衬衫,chènshān,shirt
成绩,chéngjì,achievement
城市,chéngshì,City
迟到,chídào,Late
除了,chúle,"except, besides"
船,chuán,ship
春,chūn,spring
词典,cídiǎn,Dictionaries
聪明,cōngming,clever
打扫,dǎsǎo,Clean
打算,dǎsuàn,Plan
带,dài,belt
担心,dānxīn,Worry
蛋糕,dàngāo,Cake
当然,dāngrán,Of course
地,de,
灯,dēng,lamp
地方,dìfang,local
地铁,dìtiě,metro
地图,dìtú,Map
