个,gè,(for normal objects)
岁,suì,(for age)
本,běn,(for books)
些,xiē,some
块,kuài,"piece, chunk"
不,bù,no
没,méi,no
很,hěn,"quite, very"
太,tài,too
都,dōu,all
一点儿,yīdiǎnr,a little bit
和,hé,and
在,zài,"in, at"
的,de,
了,le,
吗,ma,
呢,ne,
喂,wèi,hello
家,jiā,home
学校,xuéxiào,school
饭店,fàndiàn,restaurant
商店,shāngdiàn,store
医院,yīyuàn,hospital
中国,Zhōngguó,China
北京,Běijīng,Beijing
从,cóng,from
比,bǐ,comparing to
往,wǎng,"toward, to"
离,lí,indicate the distance between two objects
得,de,
着,zhe,
过,guò,
吧,ba,
机场,jīchǎng,airport
教室,jiàoshì,classroom
房间,fángjiān,room
路,lù,road
左边,zuǒbiān,left
右边,yòubiān,right
外,wài,outside
旁边,pángbiān,side
一下,yīxià,in a short while
早上,zǎoshàng,morning
晚上,wǎnshàng,night
小时,xiǎoshí,hour
时间,shíjiān,time
去年,qùnián,last year
日,rì,date
生日,shēngrì,birthday
哥哥,gēge,older brother
电梯,diàntī,Elevator.
电子邮件,diànzǐyóujiàn,E-mail
东,dōng,east
冬,dōng,winter
动物,dòngwù,Animal
短,duǎn,short
段,duàn,paragraph
锻炼,duànliàn,Physical exercise
多么,duōme,such
饿,è,hungry
不但……而且……,búdàn…érqiě…,not only…but also…
耳朵,ěrduo,Ears
发,fā,send out
发烧,fāshāo,Have a fever
发现,fāxiàn,"find, discover"
方便,fāngbiàn,convenient
放,fàng,discharge
放心,fàngxīn,Don’t worry
分,fēn,minute
附近,fùjìn,nearby
复习,fùxí,Review
干净,gānjìng,clean
感兴趣,gǎnxìngqù,be intretested in
感冒,gǎnmào,get a cold
刚才,gāngcái,just
个子,gèzi,height
跟,gēn,with
根据,gēnjù,according to
更,gèng,more
公斤,gōngjīn,Kg.
公园,gōngyuán,Park
故事,gùshi,Story
刮风,guāfēng,Windy
关,guān,shut
关系,guānxì,relationship
关心,guānxīn,Care for
关于,guānyú,about
国家,guójiā,Country
过去,guòqù,Past times
过（动词）,guò,pass
还是,háishì,still
害怕,hàipà,Fear
黑板,hēibǎn,blackboard
后来,hòulái,later
护照,hùzhào,passport
花（动词）,huā,spend
花（名词）,huā,flower
画,huà,painting
坏,huài,bad
欢迎,huānyíng,Welcome
