书,shū,book
汉语,hànyǔ,mandarin Chinese
字,zì,character
桌子,zhuōzi,desk
椅子,yǐzi,chair
谢谢,xièxie,thank
不客气,búkèqì,you are welcome
再见,zàijiàn,good-bye
请,qǐng,please
对不起,duìbùqǐ,sorry
没关系,méiguānxì,It doesn’t matter
是,shì,"be (am, is, are)"
有,yǒu,have
看,kàn,look
听,tīng,listen
说,shuō,speak
读,dú,read
写,xiě,write
看见,kànjiàn,see
叫,jiào,call
来,lái,come
回,huí,return
去,qù,go
吃,chī,eat
喝,hē,drink
懂,dǒng,understand
笑,xiào,smile
告诉,gàosù,tell
准备,zhǔnbèi,prepare
开始,kāishǐ,begin
介绍,jièshào,introduce
帮助,bāngzhù,help
玩,wán,play
送,sòng,present
等,děng,wait
让,ràng,let
起床,qǐchuáng,get up
唱歌,chànggē,sing
跳舞,tiàowǔ,dance
旅游,lǚyóu,travel
上班,shàngbān,be on duty
生病,shēngbìng,"get ill, get sick"
休息,xiūxi,rest
运动,yùndòng,exercise
游泳,yóuyǒng,swim
踢足球,tīzúqiú,play footbal
打篮球,dǎlánqiú,play basketball
完,wán,finish
觉得,juédé,think
知道,zhīdao,know
试,shì,try
世界,shìjiè,world
瘦,shòu,thin
舒服,shūfu,comfortable
叔叔,shūshu,uncle
树,shù,tree
数学,shùxué,Mathematics
刷牙,shuāyá,Brush one’s teeth
双,shuāng,"double, pair"
水平,shuǐpíng,level
司机,sījī,Driver
太阳,tàiyáng,sun
特别,tèbié,Especially
疼,téng,hurt
提高,tígāo,increase
体育,tǐyù,Sports
甜,tián,sweet
条,tiáo,strip
同事,tóngshì,Colleague
同意,tóngyì,Agree
头发,tóufa,Hair
突然,tūrán,suddenly
图书馆,túshūguǎn,Library
腿,tuǐ,leg
完成,wánchéng,complete
碗,wǎn,bowl
万,wàn,ten thousand
忘记,wàngjì,forget
为,wèi,for
为了,wèile,in order to
位,wèi,position
文化,wénhuà,Culture
西,xī,west
习惯,xíguàn,Habit
洗手间,xǐshǒujiān,Restroom
洗澡,xǐzǎo,Take a shower
夏,xià,summer
先,xiān,first
香蕉,xiāngjiāo,Banana
相信,xiāngxìn,believe
向,xiàng,towards
像,xiàng,image
小心,xiǎoxīn,watch out
校长,xiàozhǎng,Principal
新闻,xīnwén,news
新鲜,xīnxiān,fresh
信用卡,xìnyòngkǎ,Credit card
行李箱,xínglixiāng,Trunk
熊猫,xióngmāo,Panda
需要,xūyào,Need
