哎,āi,hey
唉,ài,oh; ah; well
爱护,ài hù,care; cherish; take good care of
爱惜,ài xī,value; cherish; treasure
爱心,ài xīn,compassion; kindness; consideration
暗,àn,dark
岸,àn,shore; coast; bank; 
安慰,ān wèi,to comfort; console
安装,ān zhuāng,to install; mount; erect
熬夜,áo yè,to stay up late or all night
把握,bǎ wò,to grasp; to hold; seize
摆,bǎi,to arrange; set in order; pendulum; lower hem (of a gown/jacket/skirt)
办理,bàn lǐ,deal with; attend to; handle
傍晚,bàng wǎn,towards evening; at nightfall; at dusk
薄,báo,thin; flimsy
宝贝,bǎo bèi,treasure; baby
保持,bǎo chí,to keep; hold; retain; maintain
保存,bǎo cún,preserve; keep; conserve
报道,bào dào,report
报到,bào dào,report for duty; check in; register
报告,bào gào,report; make known; inform
宝贵,bǎo guì,valuable; precious
包裹,bāo guǒ,wrap up; pack up
包含,bāo hán,to contain; embody; include; inclusion
包括,bāo kuò,include
保留,bǎo liú,continue to have; persist; to retain; hold back
报社,bào shè,newspaper office
保险,bǎo xiǎn,guarantee; insurance
抱怨,bào yuàn,complain; grumble
背,bèi,back
悲观,bēi guān,pessimistic
背景,bèi jǐng,background
被子,bèi zi,quilt
本科,běn kē,undergraduate course; regular college course
本领,běn lǐng,capability; capacity; faculty
本质,běn zhì,nature; innate character; intrinsic quality
彼此,bǐ cǐ,each other; both parties; one another
毕竟,bì jìng,after all; all in all; when all is said and done
比例,bǐ lì,scale; proportion; ratio
避免,bì miǎn,to avoid; refrain from; prevent something from happening
必然,bì rán,inevitable; certain; necessarily
必要,bì yào,requisite; necessary; essential
便,biàn,convenience; excrement or urine; relieve oneself
编辑,biān jí,edit; compile
辩论,biàn lùn,argue; debate
鞭炮,biān pào,firecrackers
表达,biǎo dá,to voice (an opinion)
标点,biāo diǎn,punctuation
表面,biǎo miàn,surface
表明,biǎo míng,make known; state clearly; indicate
表情,biǎo qíng,expression; look
表现,biǎo xiàn,expression; representation; display
标志,biāo zhì,sign; symbol; hallmark
病毒,bìng dú,virus
冰激凌,bīng jī líng,ice cream
播放,bō fàng,broadcast
玻璃,bō li,glass
博物馆,bó wù guǎn,museum
脖子,bó zi,neck
布,bù,cloth; textile; proclaim
不安,bù ān,uneasy; unsettled; unstable
补充,bǔ chōng,add; supplement; replenish
不得了,bù dé liǎo,desperately serious disastrous; terrible
不断,bú duàn,ceaseless; uninterrupted; continual continuous; unceasing
不见得,bú jiàn de,not likely; not necessarily
部门,bù mén,department; branch; section
不耐烦,bú nài fán,impatient
不然,bù rán,not the case; otherwise
不如,bù rú,it would be better to …not as good as
不要紧,bú yào jǐn,not important; not serious It doesn't matter; never mind
步骤,bù zhòu,step; move; procedure
不足,bù zú,not enough; insufficient
踩,cǎi,to step on; to stamp on; trample
财产,cái chǎn,property; assets; estate
采访,cǎi fǎng,to interview
彩虹,cǎi hóng,rainbow
采取,cǎi qǔ,to carry out; adopt; take
参考,cān kǎo,to consult; to refer to
惭愧,cán kuì,ashamed
参与,cān yù,to take part; to participate in
操场,cāo chǎng,playground; sports ground; drill ground
操心,cāo xīn,to worry about; to take pains over; be concerned over
册,cè,volume; copy [measure word for books]
测验,cè yàn,test; trial run; examination
曾经,céng jīng,once
插,chā,stick in; to insert; interpose
差别,chā bié,difference
差距,chā jù,gap; disparity
叉子,chā zi,fork; prong
拆,chāi,to tear open; take apart; pull down
产品,chǎn pǐn,product
产生,chǎn shēng,produce
常识,cháng shí,general knowledge
长途,cháng tú,long-distance
抄,chāo,to copy; transcribe; plagiarise
朝,cháo,dynasty; court; government
吵,chǎo,noisy
炒,chǎo,stir-fry
超级,chāo jí,super
吵架,chǎo jià,to quarrel; have a row
